U114,1269,587,172,84
U116,1272,430,170,85
U117,735,590,169,82
U118,1515,428,171,87
U119,192,282,173,81
U120,1519,283,165,83
U121,1515,720,259,150
U123,756,432,161,82
U124,61,483,65,153
U126,1542,589,219,82
U128,1033,591,156,82
U131,188,432,169,81
U132,753,1467,159,78
U135,554,727,74,157
U136,1854,1457,156,78
U139,1869,591,151,80
U140,754,1326,160,76
U141,1884,1741,152,82
U144,192,591,163,80
U146,234,144,163,80
U147,2338,877,155,78
U148,2108,1457,156,76
U150,1032,729,157,79
U152,1032,1028,157,77
U153,1030,873,158,79
U154,1296,875,155,78
U155,753,725,161,78
U158,2087,880,154,77
U160,2092,729,150,80
U161,2089,587,149,80
U162,1845,879,150,79
U163,2335,722,151,80
U164,1864,732,153,78
U165,2063,1022,167,86
U166,2945,162,81,204
U167,2843,163,78,203
U169,2995,589,78,200
U171,2356,129,189,76
U172,3022,1650,83,208
U173,1846,1028,150,79
U174,441,588,196,85
U175,1254,723,191,84
U176,1262,1321,195,87
U177,2602,257,164,85
U178,2598,380,165,85
U179,2085,430,167,83
U180,1256,1024,190,85
U181,55,1039,63,158
B1,688,45,37,54
C1,243,1934,79,59
C10,3047,1863,47,55
C12,2906,521,48,43
C13,2979,501,42,40
C15,2966,438,32,65
C16,1857,32,80,36
C17,2938,1099,73,31
C18,2891,883,87,79
C2,65,1659,63,27
C20,54,1197,75,32
C21,132,1403,35,62
C22,1718,235,35,68
C23,177,80,69,29
C25,2806,1078,60,32
C26,3020,545,56,35
C27,3091,415,46,31
C28,2960,546,33,61
C29,2074,1749,35,67
C3,94,1575,75,89
C30,2090,1687,68,30
C31,2400,1863,37,68
C32,2398,1626,45,67
C33,2400,1428,40,65
C34,2400,1220,43,70
C35,2838,1916,28,52
C36,2812,1918,28,51
C37,162,1748,37,61
C38,2501,882,31,60
C39,2577,586,31,63
C4,63,1578,30,67
C40,2515,301,31,72
C41,2810,1283,71,30
C42,1532,1531,67,33
C43,1747,306,32,62
C44,1723,302,27,68
C45,1377,1111,76,46
C46,162,308,35,69
C47,1045,81,70,45
C48,2808,1307,80,30
C5,2997,787,78,32
C50,740,962,72,40
C51,220,910,80,35
C52,138,1130,30,61
C53,1108,1551,76,38
C54,913,1470,34,82
C55,664,1658,31,73
C56,361,589,40,65
C57,375,284,44,67
C58,144,570,38,65
C59,46,852,85,39
C60,3037,447,87,93
C61,3012,1061,109,102
C62,2992,363,98,79
C63,2849,566,98,106
C64,1258,101,68,41
C65,153,1364,35,51
C66,2847,1330,82,37
C67,2621,1906,71,29
C68,2616,1926,71,32
C69,24,893,63,39
C7,2774,184,61,186
C70,20,928,77,22
C71,2984,78,45,63
C73,177,105,67,29
C74,882,253,37,78
C75,2938,1067,70,34
C76,2913,849,48,36
C77,2617,1952,68,35
C78,2887,370,79,39
C79,2965,1314,40,62
C80,2963,1726,42,59
C9,2942,577,26,57
X1,51,1688,23,123
X2,2634,495,26,128
X3,2706,525,120,31
X4,27,1333,126,28
X5,2876,1128,122,31
X6,26,1227,126,28
X7,2957,1508,72,68
R100,911,209,32,133
R101,136,1687,27,127
R102,2699,670,29,126
R103,2724,658,29,129
R106,2103,970,131,40
R107,1858,380,123,37
R108,783,1280,138,31
R109,46,642,130,31
R12,3026,1185,27,124
R13,3052,1183,32,124
R15,2879,1158,120,35
R16,3022,1323,29,116
R31,3031,54,26,111
R34,3046,1321,29,122
R35,1890,1247,118,33
R36,2845,399,128,35
R37,2639,671,25,127
R38,2609,672,31,126
R39,2665,668,35,127
R4,105,1685,31,129
R40,2607,494,24,126
R43,1774,198,31,121
R44,29,1253,123,27
R45,27,1279,125,30
R46,23,1306,128,28
R47,1943,38,131,30
R48,41,214,125,25
R49,40,169,127,27
R5,546,1822,127,32
R51,38,190,130,27
R52,41,289,126,29
R53,377,103,127,27
R54,645,751,30,124
R55,2353,972,131,38
R57,2568,967,132,36
R58,618,56,132,30
R59,474,58,121,29
R6,76,1685,25,126
R60,979,297,40,133
R61,830,382,125,33
R65,1871,829,125,46
R66,2687,502,122,28
R67,2576,669,35,127
R68,1310,982,131,37
R69,2819,398,34,128
R75,31,952,127,22
R76,29,969,131,26
R77,33,991,126,24
R78,33,1013,123,25
R79,28,1548,116,27
R80,3054,48,22,118
R81,3047,1455,26,130
R85,3023,1464,28,119
R86,2100,825,130,37
R87,2154,1860,129,25
R88,2156,1879,124,32
R89,2157,1836,126,27
R9,29,1686,20,126
R90,46,234,118,30
R91,37,268,128,26
R92,25,1522,123,28
R63,1725,399,37,126
R93,2708,1908,101,22
R94,2686,1929,122,24
R95,2690,1949,117,30
R96,2831,1368,130,34
R97,968,127,28,128
R98,994,127,32,129
R99,1426,210,29,126
T1,1620,55,151,151
Y1,33,327,112,148
Y2,17,1578,44,101
